epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,val_threshold,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_balanced_accuracy,val_specificity,val_fpr,val_fnr,val_mcc,val_f1,val_precision,val_recall,val_support_pos,val_support_neg
1,0.8874640361570832,0.38967360027660985,0.9893599053814065,0.9764939738573203,0.5,100232,6712,326833,12267,0.957450386060568,0.9354179044963769,0.9798767782458139,0.020123221754186092,0.10904096925306003,0.8858204876159178,0.9135128484390024,0.9372381807301018,0.8909590307469399,112499,333545
2,0.3827173178151703,0.2419732895763808,0.9954085410575437,0.9857288765145767,0.5,106024,7694,325851,6475,0.9682340755620522,0.9596882903018127,0.976932647768667,0.023067352231333105,0.05755606716504147,0.9161112544381913,0.9373654499882856,0.9323414059339771,0.9424439328349585,112499,333545
3,0.326631900638706,0.12941542980377113,0.9990694885316506,0.9972727657511606,0.5,111976,4399,329146,523,0.9889652141941154,0.9910812222821519,0.9868113747770166,0.013188625222983405,0.004648930212713002,0.9713281379861317,0.9784947176175538,0.9621997851772288,0.995351069787287,112499,333545
4,0.11484582164702918,0.29887372000445284,0.9959174206052771,0.9845835418685815,0.5,106419,2910,330635,6080,0.9798450377092843,0.9686153075941516,0.9912755400320796,0.008724459967920371,0.05404492484377639,0.9462351901227942,0.9594731052887823,0.9733830914030129,0.9459550751562236,112499,333545
5,0.12902064950424236,0.08564794977734176,0.9996785333920006,0.9993093555081684,0.5,112057,4399,329146,442,0.9891468106285478,0.9914412254821803,0.9868113747770166,0.013188625222983405,0.0039289238126561125,0.9718214919969344,0.9788561070952807,0.9622260768015388,0.9960710761873439,112499,333545
6,0.17307380727771415,0.06379287334626893,0.9988661051510969,0.9965860030593436,0.5,112081,7607,325938,418,0.982008501403449,0.9867389467779162,0.9771934821388418,0.022806517861158164,0.003715588583009627,0.9541277702856724,0.9654373414532252,0.936443085355257,0.9962844114169904,112499,333545
7,0.09979479492149397,0.07390213591201064,0.9997310346273569,0.9993503530258979,0.5,111908,662,332883,591,0.9971908600945198,0.9963809401398294,0.9980152603097033,0.0019847396902966615,0.005253380030044712,0.9925543997594348,0.9944328183801412,0.9941192147108466,0.9947466199699553,112499,333545
8,0.10334751466453367,0.06591681363710494,0.9996632486018914,0.9989642082571683,0.5,111963,1198,332347,536,0.9961124911443714,0.9958218969731454,0.996408280741729,0.003591719258270998,0.0047644867954381815,0.9897216032107653,0.9923158734379155,0.9894133137741802,0.9952355132045618,112499,333545
9,0.12289595843801565,0.0935216249502636,0.9973791907829779,0.9897498265584951,0.5,112220,5006,328539,279,0.9881513931361031,0.9912557541667848,0.9849915303782099,0.015008469621790163,0.002480022044640397,0.9693919961389328,0.976994232234193,0.9572961629672598,0.9975199779553596,112499,333545
10,0.07965647542474462,0.06650789970361126,0.9997738291134951,0.9994175129769264,0.5,111499,896,332649,1000,0.9957492982755064,0.994212368947441,0.997313705796819,0.00268629420318098,0.008888967901936906,0.9887277992074621,0.9915693615658933,0.9920281151296766,0.9911110320980631,112499,333545
