model_name,run_name,seed,data_root,variant_id,entity_mode,split_strategy,window_seconds,min_len,max_len_build,max_len,d_model,n_heads,n_layers,dropout,lr,weight_decay,mask_prob_train,mask_prob_score,score_passes,num_candidates,benign_percentile,vhm_weight,evaluation_mode,roc_auc,pr_auc,accuracy,f1,precision,recall,balanced_accuracy,specificity,fpr,fnr,mcc,selected_sequence_threshold,selected_distance_threshold,best_epoch,best_val_pr_auc
logbert,20260506_055236_src_plus_dst_plus_svc_win120_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9987797956124955,0.9803212037777049,0.9849974133471289,0.9143532191376255,0.8422198041349293,1.0,0.9918456866494207,0.9836913732988414,0.01630862670115847,0.0,0.9102111599782602,0.9333333373069763,0.6775724923610665,11,0.9753540444401775
logbert,20260506_055236_src_plus_dst_plus_svc_win120_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9987797956124955,0.9803212037777049,0.9889291257113295,0.9353474320241691,0.8785471055618616,1.0,0.9939826791137105,0.9879653582274208,0.01203464177257901,0.0,0.9316512791093503,0.99,0.6775724923610665,11,0.9753540444401775
logbert,20260506_184610_src_plus_dst_plus_svc_win120_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9907819857900029,0.8899788305194435,0.9469218830832902,0.5374211000901713,0.8895522388059701,0.3850129198966408,0.6904257041278278,0.9958384883590146,0.004161511640985265,0.6149870801033583,0.5651166796604569,1.0,1.0298648107051849,3,0.8909563233784912
logbert,20260506_184610_src_plus_dst_plus_svc_win120_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9907819857900029,0.8899788305194435,0.9789963786859803,0.8840662478583666,0.7922210849539406,1.0,0.9885839613091891,0.9771679226183779,0.022832077381621862,0.0,0.8798483004694161,0.99,1.0298648107051849,3,0.8909563233784912
logbert,20260506_191530_src_plus_dst_plus_svc_win120_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9979340662406632,0.9716168296071364,0.9840662183135024,0.9095182138660399,0.834051724137931,1.0,0.9913395568552469,0.9826791137104935,0.01732088628950624,0.0,0.905320500742456,0.9416666042804718,0.6863819175958632,12,0.9606331885322916
logbert,20260506_191530_src_plus_dst_plus_svc_win120_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9979340662406632,0.9716168296071364,0.9873771339886187,0.9269461077844311,0.8638392857142857,1.0,0.993139129456754,0.9862782589135078,0.013721741086491955,0.0,0.9230308265141388,0.99,0.6863819175958632,12,0.9606331885322916
logbert,20260506_200947_src_plus_dst_plus_svc_win120_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9990622866604066,0.9786954485851787,0.9829280910501811,0.9036777583187391,0.8242811501597445,1.0,0.9907209537734788,0.9814419075469574,0.018558092453042397,0.0,0.8994354142281589,0.8950167661905262,0.4252480840682972,17,0.969928001499921
logbert,20260506_200947_src_plus_dst_plus_svc_win120_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9990622866604066,0.9786954485851787,0.9884117951370927,0.9325301204819277,0.873589164785553,1.0,0.993701495894725,0.9874029917894498,0.012597008210549992,0.0,0.928754302764785,0.99,0.4252480840682972,17,0.969928001499921
logbert,20260506_211118_src_plus_dst_plus_svc_win120_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9972875628084843,0.9626724005004026,0.9481634764614588,0.553873552983081,0.8911174785100286,0.4018087855297158,0.6987674003005682,0.9957260150714203,0.004273984928579461,0.5981912144702834,0.5783536560250674,1.0,1.6589462137222277,2,0.9460270627606224
logbert,20260506_211118_src_plus_dst_plus_svc_win120_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9972875628084843,0.9626724005004026,0.9705121572684946,0.8445171849427169,0.7308781869688386,1.0,0.983972556517827,0.9679451130356538,0.03205488696434596,0.0,0.8411004513735837,0.99,1.6589462137222277,2,0.9460270627606224
