epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,9.302796827952067,9.302796827952067,0.0,0.677313857117384,0.15434093351223863,0.0,0.0,0.0,1.0,51.82465774536132,0.99,0.6409937888198758,0.4716636197440585,1.0
2,0.0002,14.011069557244051,4.7653969969648,92.4567240494532,0.9930593992291008,0.9204241240078933,0.5340136054421769,0.7810945273631841,0.40568475452196384,1.0,1.7953618466854087,0.99,0.6606914212548015,0.4933078393881453,1.0
3,0.0002,8.210773057328893,3.6139553938520717,45.968175866958944,0.9917813240927127,0.906253300251856,0.5120532003325021,0.717948717948718,0.3979328165374677,1.0,1.2915545773506127,0.97,0.7551219512195122,0.6065830721003135,1.0
4,0.0002,6.631460560331953,3.1643848010665137,34.67075719630465,0.9981646566186598,0.9696916057353134,0.914792899408284,0.8438864628820961,0.9987080103359173,1.0,1.0976548755168907,0.97,0.7659574468085106,0.6206896551724138,1.0
5,0.0002,5.725730353010461,2.9207985619619383,28.049317578795954,0.998407044255413,0.9677282853252318,0.9508599508599509,0.9063231850117096,1.0,1.0,0.9225629425048827,0.97,0.827807486631016,0.7062043795620438,1.0
6,0.0002,4.997793153127034,2.736514367245613,22.612787442038247,0.9983189189133476,0.9679700832877071,0.949048496009822,0.904093567251462,0.9987080103359173,1.0,0.8306477057933805,0.96,0.8336025848142165,0.7146814404432132,1.0
7,0.0002,4.508108384017404,2.625945192431727,18.82163176786815,0.998424394468958,0.9714633247218021,0.9479485609308022,0.9010477299185099,1.0,1.0,0.8492008239030825,0.96,0.8440567066521265,0.730188679245283,1.0
8,0.0002,4.143564848392567,2.544278745921791,15.99286087414897,0.9981820068322049,0.9690849464536467,0.9258373205741627,0.8619153674832962,1.0,1.0,0.8393027615547181,0.97,0.8408473655621944,0.725398313027179,1.0
9,0.0002,3.84381601509473,2.4732032675776923,13.706127265497303,0.9983960500606913,0.9694221458210656,0.8984329657573998,0.815595363540569,1.0,1.0,0.8041551810503003,0.96,0.8251599147121536,0.7023593466424682,1.0
10,0.0002,3.604725931113493,2.4312333286907655,11.734925772484313,0.9984755861881306,0.9716793601442023,0.9456322541233965,0.8968713789107764,1.0,1.0,0.7432000923156731,0.94,0.8623955431754875,0.7580803134182175,1.0
11,0.0002,3.3593543439553986,2.363805876725109,9.955484451131618,0.9983963936292763,0.9753540444401775,0.9258373205741627,0.8619153674832962,1.0,1.0,0.6775724923610665,0.96,0.8566685113447703,0.7492739593417231,1.0
12,0.0002,3.213281372692568,2.3501855731855894,8.630957792430905,0.9574512639372891,0.7008284930352413,0.47948511665325827,0.6353944562899787,0.3850129198966408,1.0,0.7248035383224481,0.96,0.8164556962025317,0.6898395721925134,1.0
13,0.0002,3.0517638531813387,2.300559815379745,7.512040144873003,0.9973739335201659,0.964543223575188,0.9070588235294118,0.8326133909287257,0.9961240310077519,1.0,0.632679753303527,0.93,0.8367567567567568,0.7193308550185874,1.0
14,0.0002,2.9064346187672716,2.262009396789767,6.444251982912104,0.9979573129775818,0.9686511009337513,0.930847865303668,0.8706411698537683,1.0,1.0,0.556501839160919,0.95,0.8672268907563025,0.7655786350148368,1.0
15,0.0001,2.7193090318449844,2.191815866984374,5.274931444208673,0.998399829315127,0.9700784922181086,0.9143532191376255,0.8422198041349293,1.0,1.0,0.512224423885345,0.96,0.8566685113447703,0.7492739593417231,1.0
16,0.0001,2.6512034091543644,2.1779008728054396,4.733025323177905,0.9936025811620659,0.9250616274711415,0.5336700336700336,0.7657004830917874,0.4095607235142119,1.0,0.4489079245924949,0.95,0.873589164785553,0.7755511022044088,1.0
