seq_id,day,entity,split_group_id,seq_y,mlm_error_ratio,mlm_loss,distance,distance_z,composite_score
Thursday_4997684_192.168.10.8::8089::6,Thursday,192.168.10.8::8089::6,Thursday::192.168.10.8::8089::6,0,1.0,26.16377830505371,1.628618597984314,0.6284455668690196,1.6284455668690196
Thursday_4997681_192.168.10.8::49165::6,Thursday,192.168.10.8::49165::6,Thursday::192.168.10.8::49165::6,0,1.0,29.406869888305664,1.4118297100067139,0.06522005575336343,1.0652200557533633
Wednesday_4997372_192.168.10.17::443::6,Wednesday,192.168.10.17::443::6,Wednesday::192.168.10.17::443::6,0,0.6012531518936157,6.64882230758667,1.2934380769729614,0.0,0.6012531518936157
Thursday_4997682_192.168.10.8::1287::6,Thursday,192.168.10.8::1287::6,Thursday::192.168.10.8::1287::6,0,1.0,17.553287506103516,1.5546903610229492,0.4363772858935375,1.4363772858935375
Thursday_4997683_192.168.10.8::27000::6,Thursday,192.168.10.8::27000::6,Thursday::192.168.10.8::27000::6,0,1.0,24.432592391967773,1.2306194305419922,0.0,1.0
Monday_4996823_192.168.10.12::443::6,Monday,192.168.10.12::443::6,Monday::192.168.10.12::443::6,0,0.5117486119270325,9.33222770690918,1.0649470090866089,0.0,0.5117486119270325
Wednesday_4997506_192.168.10.51::53::17,Wednesday,192.168.10.51::53::17,Wednesday::192.168.10.51::53::17,0,0.033237818628549576,2.173513174057007,0.8900291323661804,0.0,0.033237818628549576
Thursday_4997680_192.168.10.8::4004::6,Thursday,192.168.10.8::4004::6,Thursday::192.168.10.8::4004::6,0,1.0,25.938962936401367,1.3859292268753052,0.0,1.0
Thursday_4997676_192.168.10.8::389::17,Thursday,192.168.10.8::389::17,Thursday::192.168.10.8::389::17,0,1.0,13.085051536560059,2.4911365509033203,2.869298958438756,3.869298958438756
Friday_4998036_192.168.10.17::53::17,Friday,192.168.10.17::53::17,Friday::192.168.10.17::53::17,0,0.0,0.6362456679344177,1.5788044929504395,0.4990266882991368,0.4990266882991368
Friday_4998070_192.168.10.50::137::17,Friday,192.168.10.50::137::17,Friday::192.168.10.50::137::17,0,1.0,8.650091171264648,1.2879722118377686,0.0,1.0
Tuesday_4997175_192.168.10.9::53::17,Tuesday,192.168.10.9::53::17,Tuesday::192.168.10.9::53::17,0,0.014663070440292358,1.7745083570480347,1.0268343687057495,0.0,0.014663070440292358
Tuesday_4997079_192.168.10.9::80::6,Tuesday,192.168.10.9::80::6,Tuesday::192.168.10.9::80::6,0,0.5305555462837219,9.492270469665527,1.1667615175247192,0.0,0.5305555462837219
Friday_4998048_192.168.10.8::443::6,Friday,192.168.10.8::443::6,Friday::192.168.10.8::443::6,0,0.599854052066803,8.156134605407715,1.0397076606750488,0.0,0.599854052066803
Wednesday_4997380_192.168.10.15::443::6,Wednesday,192.168.10.15::443::6,Wednesday::192.168.10.15::443::6,0,0.19833335280418396,6.105688571929932,1.58670175075531,0.519544054779747,0.7178774075839309
Thursday_4997679_192.168.10.8::49163::6,Thursday,192.168.10.8::49163::6,Thursday::192.168.10.8::49163::6,0,1.0,14.199861526489258,1.740264892578125,0.9185067500015502,1.9185067500015502
Thursday_4997681_192.168.10.8::5822::6,Thursday,192.168.10.8::5822::6,Thursday::192.168.10.8::5822::6,0,1.0,16.29212188720703,1.546742558479309,0.41572860232101716,1.4157286023210172
Thursday_4997678_192.168.10.8::70::6,Thursday,192.168.10.8::70::6,Thursday::192.168.10.8::70::6,0,1.0,21.427825927734375,1.7118752002716064,0.8447492843448822,1.844749284344882
Wednesday_4997462_192.168.10.16::123::17,Wednesday,192.168.10.16::123::17,Wednesday::192.168.10.16::123::17,0,0.30690476298332214,7.311291694641113,1.3014839887619019,0.0,0.30690476298332214
